Order_ID,Date,Region,Product_Category,Price,Quantity,Marketing_Spend,Economic_Index,Competitor_Price,Sales,Profit,High_Performer
1,2022-04-13,North,Grocery,400.31,15,3686.77,103.95,345.23,5591.47,1918.96,0
2,2022-03-29,East,Clothing,173.52,8,3569.56,80.82,206.13,1480.43,588.6,1
3,2022-07-11,East,Electronics,496.18,1,1590.79,100.99,482.68,475.47,117.04,0
4,2022-06-19,South,Electronics,32.87,16,1240.58,83.62,34.42,513.5,94.57,0
5,2022-05-11,North,Furniture,431.37,7,935.57,82.6,508.83,3300.8,1000.84,1
6,2022-09-22,West,Clothing,17.82,2,3452.74,97.61,15.13,35.61,13.98,0
7,2022-07-25,East,Electronics,201.62,18,3346.36,92.47,203.24,3663.06,1351.39,1
8,2022-07-10,West,Grocery,422.72,12,4703.54,115.79,439.27,5500.64,2367.28,1
9,2022-08-03,West,Clothing,265.21,8,4238.22,109.89,269.42,2158.48,475.89,1
10,2022-07-07,North,Clothing,275.92,9,1551.74,86.61,222.46,2445.25,759.15,0
11,2022-05-16,South,Clothing,12.71,11,1074.33,108.45,14.18,142.73,32.97,1
12,2022-02-10,North,Grocery,458.33,9,3154.16,93.24,378.32,3969.03,1225.78,0
13,2022-04-09,North,Clothing,299.74,3,2413.85,84.78,325.3,946.11,305.64,1
14,2022-09-12,West,Furniture,135.47,9,3582.25,84.44,132.19,1146.52,196.53,0
15,2022-08-29,North,Furniture,164.03,4,4547.08,89.97,158.15,689.67,265.97,1
16,2022-06-09,East,Clothing,303.44,19,889.98,117.19,340.84,5919.26,1455.13,1
17,2022-01-28,East,Grocery,117.04,11,1689.29,84.88,110.31,1392.14,549.64,1
18,2022-10-10,East,Grocery,219.28,13,4317.58,80.28,220.23,2803.59,966.55,0
19,2022-11-03,North,Furniture,142.01,15,924.63,88.75,145.31,2089.21,783.46,0
20,2022-02-21,East,Grocery,130.97,7,2536.52,92.04,119.7,831.87,170.03,0
21,2022-05-10,South,Grocery,211.41,5,1790.85,105.37,226.69,1063.58,334.69,1
22,2022-07-17,North,Clothing,128.61,4,496.18,94.79,115.34,545.62,188.57,1
23,2022-04-08,West,Electronics,320.43,11,4100.52,111.93,275.66,3530.5,925.16,1
24,2022-09-16,West,Clothing,299.54,4,181.28,100.48,266.77,1232.94,472.26,1
25,2022-05-08,East,Electronics,263.7,8,773.85,93.64,222.93,2288.77,652.86,1
26,2022-04-09,West,Electronics,121.99,16,4104.39,102.21,123.44,1851.06,643.62,0
27,2022-05-20,West,Furniture,283.56,9,1466.47,108.01,322.88,2733.95,996.24,1
28,2022-06-10,North,Furniture,324.6,11,4684.61,111.41,346.54,3628.17,1219.99,1
29,2022-04-09,East,Electronics,487.1,18,887.96,101.95,524.48,9034.19,3380.29,1
30,2022-06-10,South,Furniture,18.86,14,1694.46,109.86,19.99,282.44,89.32,1
31,2022-02-02,South,Electronics,275.84,19,3218.03,90.02,285.76,5743.03,2088.19,1
32,2022-09-21,West,Electronics,319.26,2,1815.38,105.8,340.83,685.02,272.52,1
33,2022-10-31,South,Furniture,147.58,3,3865.91,81.74,176.77,440.07,149.68,0
34,2022-01-06,East,Furniture,191.38,9,4770.05,93.23,195.42,1747.3,376.16,1
35,2022-04-26,East,Furniture,154.28,1,1652.92,86.78,157.79,167.74,53.69,1
36,2022-12-26,South,Clothing,44.5,18,3113.54,119.6,38.1,804.01,182.8,1
37,2022-09-30,East,Electronics,425.85,9,3542.17,94.38,390.69,4069.77,1149.21,1
38,2022-01-13,South,Electronics,49.98,7,2557.43,111.93,52.98,364.0,98.4,1
39,2022-05-23,West,Clothing,194.04,2,2248.52,106.88,180.7,361.3,52.25,0
40,2022-05-30,North,Electronics,299.51,17,283.01,112.9,282.76,4711.87,1125.07,0
41,2022-02-22,North,Grocery,143.06,12,3152.16,83.41,117.4,1727.44,511.82,1
42,2022-11-07,North,Clothing,77.79,16,4881.68,100.65,72.28,1318.17,503.94,1
43,2022-04-02,East,Clothing,374.58,5,1003.24,83.23,363.84,1943.51,797.97,1
44,2022-05-02,West,Clothing,86.65,2,1274.96,83.75,75.66,188.37,62.26,1
45,2022-07-08,West,Furniture,371.57,5,3097.43,96.78,334.08,1804.33,408.03,0
46,2022-07-04,South,Furniture,177.52,5,561.37,92.46,211.57,829.97,294.36,0
47,2022-12-07,West,Grocery,242.0,1,2376.9,105.99,198.25,263.74,75.62,1
48,2022-06-29,East,Furniture,193.56,19,2565.37,114.26,205.85,3429.72,1171.23,0
49,2022-09-04,East,Electronics,472.68,12,2002.03,105.73,464.79,5723.95,1252.59,1
50,2022-11-19,North,Electronics,412.01,8,4536.22,87.83,341.04,3032.9,1043.24,0
51,2022-08-30,West,Grocery,344.67,17,3313.04,95.42,369.71,5672.68,1851.5,0
52,2022-07-15,East,Clothing,349.52,18,3181.82,115.1,382.38,6673.15,2543.5,1
53,2022-12-23,North,Electronics,377.8,3,4953.48,96.5,358.46,1196.06,438.77,1
54,2022-07-09,West,Furniture,285.31,12,2202.07,110.03,314.36,3152.01,479.72,0
55,2022-03-03,East,Clothing,253.31,13,4488.06,95.57,203.75,3560.09,1524.11,1
56,2022-10-11,East,Clothing,475.53,19,2515.83,83.33,397.87,9220.19,2798.59,1
57,2022-02-22,South,Furniture,397.87,7,546.91,99.78,327.46,2812.7,895.69,1
58,2022-08-03,South,Furniture,277.5,11,673.63,85.72,306.53,3124.66,1231.43,1
59,2022-01-07,North,Grocery,218.78,8,456.54,112.87,236.83,1603.73,523.86,0
60,2022-12-05,West,Electronics,294.84,13,1916.15,112.51,347.59,4205.48,1328.2,1
61,2022-03-11,East,Clothing,357.01,19,3908.02,102.34,346.19,7334.44,3113.69,1
62,2022-06-22,West,Clothing,15.56,8,675.88,105.97,17.09,126.58,27.92,1
63,2022-07-10,East,Grocery,244.08,1,1195.62,118.53,196.45,267.02,118.46,1
64,2022-05-29,South,Furniture,31.27,11,4603.67,90.12,33.71,314.73,96.93,0
65,2022-11-01,North,Furniture,350.92,1,3175.03,103.37,407.23,319.01,88.75,0
66,2022-08-12,West,Furniture,38.35,6,2332.72,104.81,34.94,215.77,56.35,0
67,2022-07-05,East,Electronics,122.4,5,4874.53,119.45,132.11,616.44,211.34,1
68,2022-07-31,West,Electronics,305.36,16,896.82,116.44,344.76,5325.34,1684.71,1
69,2022-10-30,South,Furniture,460.4,10,4670.37,114.64,376.64,4167.85,1058.82,0
70,2022-03-06,West,Clothing,245.38,15,837.04,103.77,233.69,4026.64,1198.29,1
71,2022-04-08,West,Clothing,28.04,1,166.99,83.01,30.19,28.24,7.2,1
72,2022-09-16,East,Furniture,282.16,5,3657.99,110.28,268.38,1337.75,433.41,0
73,2022-01-01,North,Grocery,477.49,13,1115.42,115.13,526.57,5644.79,1586.87,0
74,2022-02-08,North,Furniture,339.07,2,2433.43,113.25,313.0,721.05,182.88,1
75,2022-08-10,West,Grocery,397.99,17,756.67,81.15,438.61,6928.64,1916.4,1
76,2022-04-13,West,Furniture,76.82,2,1817.88,103.6,73.51,151.72,31.75,0
77,2022-11-04,South,Electronics,278.25,1,3939.9,95.86,291.84,298.41,78.62,1
78,2022-05-18,South,Furniture,464.03,10,3867.7,82.65,379.73,4752.39,1645.81,1
79,2022-05-06,East,Electronics,320.37,16,1773.66,101.49,315.26,5212.76,1726.87,1
80,2022-01-08,West,Clothing,98.23,4,1793.77,115.87,97.21,406.1,156.8,1
81,2022-05-02,East,Electronics,119.69,5,1790.9,93.9,97.27,604.26,181.24,1
82,2022-01-12,North,Clothing,111.1,2,730.87,93.2,103.17,204.09,49.38,0
83,2022-08-02,East,Clothing,50.06,11,4612.27,82.44,45.59,584.41,171.59,1
84,2022-09-10,West,Clothing,493.27,15,1915.31,99.38,516.6,7205.01,2081.16,0
85,2022-12-31,East,Furniture,40.55,19,3595.41,115.81,40.74,775.35,296.59,1
86,2022-10-21,West,Electronics,270.98,15,613.86,109.5,236.54,4116.74,994.44,1
87,2022-03-27,South,Furniture,170.47,12,1242.76,93.72,168.7,1986.4,493.53,0
88,2022-05-26,South,Grocery,52.59,15,3710.43,102.31,54.41,799.03,265.96,1
89,2022-04-11,East,Furniture,187.91,2,1297.33,99.93,175.16,408.42,182.36,1
90,2022-10-04,South,Grocery,84.9,16,887.34,87.46,77.6,1269.68,210.99,0
91,2022-09-04,West,Grocery,35.3,8,3515.11,119.89,40.9,286.7,65.44,1
92,2022-12-01,East,Furniture,410.37,17,2504.67,108.92,463.03,7281.01,2348.78,1
93,2022-01-26,West,Furniture,147.19,12,1104.88,118.72,159.61,1660.13,340.28,0
94,2022-05-20,East,Clothing,66.27,14,1514.29,103.25,57.11,924.28,268.79,0
95,2022-06-10,South,Grocery,190.92,10,2788.16,101.96,168.14,1979.71,800.62,1
96,2022-11-15,North,Clothing,343.94,17,671.81,98.93,358.53,6191.05,2558.13,1
97,2022-03-10,East,Furniture,417.0,12,2101.74,117.32,498.89,4708.81,1326.85,0
98,2022-01-01,East,Furniture,373.15,8,4156.91,110.02,417.86,3179.31,1276.9,1
99,2022-12-05,South,Grocery,335.95,4,1649.36,103.53,360.54,1330.87,332.77,0
